Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	0	-20726.26	-20727.78	1.523149	0.0458555	0.0842776	0.0567625	0.365043	0.0817911	0.208366	0.0036953	0.335587	0.0265148	0.0310632	0.0207333	0.0190384	0.101553	0.00473591	0.00230046	0.392211	0.0768344	0.00230963	0.0988139	0.216544	0.191749	0.00331777	0.295994	0.0599949	0.128346	0.13299	0.00909757	0.0168505	0.102206	0.0150527	0.0293595	0.0218681	0.0386917	0.205638	0.257547	0.0612147	0.0702157	0.0981349	0.00803966	0.134122	0.185323	0.0423413	0.054468	4.336593
1	1	-19847.6	-19849.94	2.344496	0.0634063	0.0691429	0.0423964	0.171549	0.00319721	0.0162415	0.0664334	0.0905793	0.0316634	0.0485442	0.466122	0.0825114	0.367459	0.233576	0.0984879	0.0629563	0.149364	0.028089	0.0560482	0.136343	0.0999889	0.0703905	0.0279597	0.136708	0.245433	0.0157721	0.0268551	0.103061	0.068384	0.0495831	0.0921067	0.0262841	0.190406	0.0380193	0.0308484	0.155266	0.137662	0.0570316	0.175646	0.0787945	0.0126367	0.0412829	0.09023	4.254458
2	0	-17498.05	-17505.45	7.403266	0.126998	0.0936268	0.130724	0.24488	0.163529	0.134015	0.0116438	0.282126	0.0917863	0.139077	0.0332396	0.0380708	0.138507	0.00560104	0.00457728	0.311407	0.12459	0.00407959	0.179007	0.143742	0.0892698	0.00687339	0.217478	0.047546	0.0780663	0.0205029	0.00960491	0.0164295	0.0884666	0.00960211	0.0784266	0.0341646	0.0342062	0.0857554	0.0663529	0.0506301	0.0293112	0.0548747	0.00635778	0.0846386	0.113854	0.0841716	0.0407733	3.748581
3	1	-16587.86	-16595.15	7.291964	0.172431	0.162966	0.10528	0.0925161	0.0457087	0.0364511	0.13563	0.215549	0.137985	0.179683	0.29387	0.0809949	0.127451	0.139254	0.113585	0.138661	0.153697	0.10973	0.156977	0.0933326	0.0972618	0.102643	0.0533921	0.0510176	0.0319954	0.0231564	0.0227993	0.0723969	0.0450883	0.0476603	0.0340122	0.0666308	0.0760685	0.00492415	0.0204783	0.0277948	0.0552131	0.0266016	0.0501851	0.0388427	0.0134334	0.0361367	0.070227	3.759712
4	0	-16661.83	-16673.94	12.11254	0.102812	0.102744	0.0958098	0.162649	0.115974	0.0967552	0.0480224	0.282126	0.105481	0.128544	0.0516025	0.0630581	0.0938297	0.00762982	0.0408129	0.124343	0.120715	0.020412	0.143919	0.143742	0.0944811	0.0149323	0.287444	0.0491068	0.0318889	0.0345939	0.00958497	0.0627677	0.0441297	0.00661729	0.0732126	0.0332749	0.0292266	0.0832941	0.0244942	0.0252978	0.026839	0.0421512	0.00643856	0.0929127	0.0713472	0.0606898	0.0219483	3.277654
5	1	-16118.61	-16130.26	11.64679	0.123307	0.0718171	0.0919684	0.102348	0.125292	0.0947058	0.119987	0.115217	0.088511	0.167654	0.0859756	0.079543	0.0931595	0.168903	0.103899	0.13077	0.138187	0.106595	0.148566	0.081309	0.0970769	0.110129	0.156986	0.0256216	0.0439618	0.0312487	0.0373657	0.0357094	0.0314257	0.0568979	0.0254703	0.0333908	0.0500887	0.0046948	0.0212164	0.0245687	0.109774	0.0444307	0.0316753	0.0275608	0.0185236	0.0211875	0.0475077	3.324228
6	0	-16035.54	-16048.79	13.25074	0.132525	0.0969812	0.0931199	0.0869476	0.115974	0.0778555	0.110325	0.0636562	0.0829791	0.179595	0.063408	0.0924287	0.104319	0.0148499	0.0934776	0.148416	0.11789	0.0826907	0.128523	0.0880307	0.0944811	0.0256368	0.225036	0.0669423	0.0309846	0.0648279	0.020987	0.0683106	0.0688597	0.0102015	0.0480443	0.0356416	0.0293382	0.118402	0.027834	0.0341772	0.015702	0.0326107	0.0129787	0.0780454	0.0123131	0.0366722	0.0318143	3.163833
7	1	-15824.78	-15836.75	11.97022	0.146806	0.0784463	0.101124	0.0992502	0.131423	0.0906082	0.128961	0.090152	0.0755643	0.195535	0.0925384	0.0855633	0.0789001	0.124419	0.10091	0.115416	0.138067	0.123825	0.11496	0.081309	0.0970769	0.0855576	0.162282	0.0258386	0.0269052	0.0229312	0.0385103	0.0707002	0.0175391	0.0154868	0.0251923	0.054539	0.0624785	0.00885522	0.0327518	0.0290282	0.0767069	0.0438472	0.0321096	0.0321965	0.0440957	0.0481768	0.045304	3.291886
8	0	-15865.64	-15877.9	12.25634	0.157538	0.0983622	0.10915	0.0958931	0.0992137	0.0905452	0.106397	0.0725957	0.115392	0.166613	0.0987974	0.0861496	0.0869361	0.0611951	0.112424	0.125	0.105632	0.0991579	0.103355	0.076064	0.0838651	0.0810769	0.240258	0.0286071	0.0355649	0.0458288	0.0308965	0.0683106	0.0747158	0.0354133	0.0259563	0.0363301	0.0348496	0.0883136	0.0508061	0.0416569	0.0260113	0.0279848	0.0256415	0.0236381	0.00535892	0.0501583	0.0356208	3.263274
9	1	-15812.16	-15824.83	12.66878	0.140542	0.0898695	0.122178	0.0980397	0.107446	0.0906082	0.125516	0.0837218	0.0911035	0.168692	0.068188	0.0790192	0.0797425	0.109553	0.10091	0.10156	0.126503	0.104507	0.118399	0.0874132	0.107685	0.0859398	0.178704	0.0288788	0.0241443	0.037249	0.039397	0.0473802	0.0283344	0.0328077	0.0419012	0.0294452	0.0800245	0.0193894	0.0295442	0.025756	0.0772685	0.0468961	0.0248792	0.0201308	0.0508512	0.0258301	0.0460831	3.22203
