Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	-19847.6	-19849.94	2.344496	0.0634063	0.0691429	0.0423964	0.171549	0.00319721	0.0162415	0.0664334	0.0905793	0.0316634	0.0485442	0.466122	0.0825114	0.367459	0.233576	0.0984879	0.0629563	0.149364	0.028089	0.0560482	0.136343	0.0999889	0.0703905	0.0279597	0.136708	0.245433	0.0157721	0.0268551	0.103061	0.068384	0.0495831	0.0921067	0.0262841	0.190406	0.0380193	0.0308484	0.155266	0.137662	0.0570316	0.175646	0.0787945	0.0126367	0.0412829	0.09023	4.254458
10	-16587.86	-16595.15	7.291964	0.172431	0.162966	0.10528	0.0925161	0.0457087	0.0364511	0.13563	0.215549	0.137985	0.179683	0.29387	0.0809949	0.127451	0.139254	0.113585	0.138661	0.153697	0.10973	0.156977	0.0933326	0.0972618	0.102643	0.0533921	0.0510176	0.0319954	0.0231564	0.0227993	0.0723969	0.0450883	0.0476603	0.0340122	0.0666308	0.0760685	0.00492415	0.0204783	0.0277948	0.0552131	0.0266016	0.0501851	0.0388427	0.0134334	0.0361367	0.070227	3.759712
20	-16118.61	-16130.26	11.64679	0.123307	0.0718171	0.0919684	0.102348	0.125292	0.0947058	0.119987	0.115217	0.088511	0.167654	0.0859756	0.079543	0.0931595	0.168903	0.103899	0.13077	0.138187	0.106595	0.148566	0.081309	0.0970769	0.110129	0.156986	0.0256216	0.0439618	0.0312487	0.0373657	0.0357094	0.0314257	0.0568979	0.0254703	0.0333908	0.0500887	0.0046948	0.0212164	0.0245687	0.109774	0.0444307	0.0316753	0.0275608	0.0185236	0.0211875	0.0475077	3.324228
30	-15824.78	-15836.75	11.97022	0.146806	0.0784463	0.101124	0.0992502	0.131423	0.0906082	0.128961	0.090152	0.0755643	0.195535	0.0925384	0.0855633	0.0789001	0.124419	0.10091	0.115416	0.138067	0.123825	0.11496	0.081309	0.0970769	0.0855576	0.162282	0.0258386	0.0269052	0.0229312	0.0385103	0.0707002	0.0175391	0.0154868	0.0251923	0.054539	0.0624785	0.00885522	0.0327518	0.0290282	0.0767069	0.0438472	0.0321096	0.0321965	0.0440957	0.0481768	0.045304	3.291886
40	-15812.16	-15824.83	12.66878	0.140542	0.0898695	0.122178	0.0980397	0.107446	0.0906082	0.125516	0.0837218	0.0911035	0.168692	0.068188	0.0790192	0.0797425	0.109553	0.10091	0.10156	0.126503	0.104507	0.118399	0.0874132	0.107685	0.0859398	0.178704	0.0288788	0.0241443	0.037249	0.039397	0.0473802	0.0283344	0.0328077	0.0419012	0.0294452	0.0800245	0.0193894	0.0295442	0.025756	0.0772685	0.0468961	0.0248792	0.0201308	0.0508512	0.0258301	0.0460831	3.22203
50	-15800.38	-15813.45	13.06909	0.117497	0.0861351	0.0909286	0.0924011	0.121495	0.0758817	0.125516	0.0682505	0.103851	0.176986	0.0826626	0.0868263	0.102574	0.0876395	0.123886	0.118955	0.131281	0.0989883	0.128699	0.0867051	0.091124	0.0936331	0.152779	0.0187431	0.0275263	0.032975	0.0302226	0.0597111	0.0359512	0.0439183	0.0208568	0.0254138	0.0510591	0.0366241	0.0255106	0.0358057	0.0867251	0.0420964	0.0160502	0.0223968	0.0500032	0.0471959	0.0285195	3.181999
60	-15806.3	-15818.65	12.34337	0.132933	0.0977446	0.0940837	0.0923864	0.135038	0.0842961	0.117974	0.0744006	0.0940978	0.179305	0.0863053	0.073958	0.109929	0.0965177	0.109288	0.0964713	0.144824	0.0989883	0.142544	0.0750097	0.0849319	0.0788089	0.180066	0.0205326	0.0355816	0.0437891	0.0204621	0.0534689	0.0405573	0.0422786	0.0346339	0.0297982	0.0533629	0.0281204	0.0336697	0.0307459	0.103112	0.0420576	0.0192861	0.0209351	0.0366237	0.0351962	0.0504561	3.254571
70	-15806.78	-15819.32	12.5395	0.127645	0.0918047	0.115178	0.0749597	0.106991	0.0842961	0.110141	0.0744405	0.0923036	0.167091	0.0811161	0.0860447	0.0835097	0.0908741	0.11112	0.139985	0.115243	0.102138	0.134329	0.069081	0.120125	0.0841206	0.171525	0.0268995	0.0211234	0.0286279	0.0488701	0.0655991	0.0357776	0.0375945	0.0256137	0.0287481	0.0539449	0.0262653	0.0306193	0.0311653	0.102016	0.0450935	0.0300371	0.0119186	0.0502771	0.0517019	0.0490018	3.234958
80	-15803.12	-15815.91	12.79062	0.133805	0.0850647	0.115178	0.0851434	0.131332	0.0762971	0.112877	0.0810172	0.122771	0.168697	0.0709286	0.0695012	0.111579	0.0976531	0.102651	0.110553	0.113416	0.125581	0.122528	0.0756101	0.109729	0.0736665	0.171525	0.021423	0.0342649	0.0351133	0.0340123	0.0551355	0.0182789	0.043026	0.0302045	0.0193515	0.0448823	0.0329371	0.0238457	0.0292681	0.0797983	0.0429751	0.0304248	0.0206359	0.04696	0.032377	0.0678275	3.209846
90	-15803.96	-15815.99	12.02564	0.119519	0.0954511	0.101936	0.0837627	0.100732	0.0854096	0.127017	0.0849273	0.103053	0.170287	0.0830456	0.0803071	0.106624	0.0853634	0.144326	0.126838	0.139117	0.101473	0.131468	0.0736645	0.0999015	0.0978983	0.178049	0.0349759	0.0234331	0.0347271	0.037075	0.0459357	0.0260243	0.0286292	0.033633	0.0394626	0.0632927	0.0255835	0.0146075	0.0328835	0.0917817	0.0355594	0.0312222	0.0205208	0.0568229	0.0395981	0.0504066	3.286344
