Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	0	-1163.882	-1044.58	-119.3016	286295.5	1.369749	0.997625	0.999392	1.00061	1.00238	36.79144
1	1	-1009.289	-952.6657	-56.62282	569295.4	5.665131	0.998316	0.999569	1.00043	1.00169	10.46084
2	0	-995.1587	-893.1932	-101.9655	791359.4	1.916851	0.998571	0.999635	1.00036	1.00143	26.13053
3	1	-800.3278	-752.647	-47.68087	943072.5	4.048881	0.998691	0.999665	1.00033	1.00131	8.27709
4	0	-632.1854	-620.9876	-11.19776	317409.4	12.12149	0.997745	0.999423	1.00058	1.00226	4.235356
5	1	-627.7437	-619.6472	-8.096582	428679.6	16.91894	0.998059	0.999503	1.0005	1.00194	3.799547
6	0	-863.8669	-776.4331	-87.4338	508001	1.757401	0.998217	0.999544	1.00045	1.00178	17.73035
7	1	-704.3851	-675.3498	-29.03529	771869.8	7.668085	0.998554	0.99963	1.00037	1.00145	6.091935
8	0	-640.9192	-627.5933	-13.32592	521817.2	9.461405	0.998241	0.99955	1.00045	1.00176	4.371792
9	1	-623.9908	-626.7158	2.724993	842770.4	20.83431	0.998616	0.999646	1.00035	1.00138	3.038075
10	0	-761.2257	-696.601	-64.62478	880428.1	4.330346	0.998646	0.999654	1.00035	1.00136	12.43044
11	1	-675.9156	-653.755	-22.16068	990688.5	9.235104	0.998723	0.999674	1.00033	1.00128	5.306779
12	0	-643.8025	-621.7992	-22.00323	765740	12.41946	0.998548	0.999629	1.00037	1.00145	5.09871
13	1	-613.7339	-617.6809	3.947013	294315.1	15.7841	0.997658	0.999401	1.0006	1.00234	3.099747
14	0	-687.3869	-648.1662	-39.22069	931438.1	6.259113	0.998683	0.999663	1.00034	1.00132	7.481287
15	1	-647.8863	-627.464	-20.42233	734683.2	9.77415	0.998517	0.999621	1.00038	1.00148	5.121232
16	0	-653.8759	-631.6546	-22.22123	570272.3	10.45801	0.998317	0.99957	1.00043	1.00168	5.275076
17	1	-630.0358	-618.891	-11.14477	632794.7	11.26572	0.998403	0.999591	1.00041	1.0016	4.236126
18	0	-656.2285	-631.5693	-24.65925	175918.1	8.695706	0.996971	0.999224	1.00077	1.00303	5.582731
19	1	-642.5958	-628.0393	-14.55643	579941.7	13.22002	0.998331	0.999573	1.00043	1.00167	4.455528
20	0	-628.3847	-624.0283	-4.356431	361633.4	15.03867	0.997887	0.999459	1.00054	1.00211	3.651384
21	1	-632.6195	-618.3845	-14.235	103098.4	10.07712	0.996044	0.998986	1.00101	1.00396	4.501743
22	0	-649.6058	-628.4275	-21.17835	105996.6	10.07928	0.996098	0.999	1.00099	1.00391	5.190694
23	1	-633.6398	-624.3269	-9.312948	910901.3	13.49913	0.998668	0.99966	1.00034	1.00133	4.049772
24	0	-629.4718	-622.0048	-7.466983	652188.8	11.93574	0.998426	0.999598	1.0004	1.00157	3.925825
25	1	-624.9421	-617.6969	-7.245167	918394.8	11.70602	0.998674	0.999661	1.00034	1.00133	3.903173
26	0	-636.559	-622.6423	-13.91667	236126.3	8.905048	0.997385	0.999331	1.00067	1.00262	4.376684
27	1	-626.1869	-622.247	-3.939944	906282.4	13.09169	0.998665	0.999659	1.00034	1.00134	3.65223
28	0	-631.1251	-626.9002	-4.224881	511194.3	15.64205	0.998223	0.999545	1.00045	1.00178	3.622669
29	1	-633.5728	-623.7476	-9.825249	819968.4	14.20334	0.998597	0.999641	1.00036	1.0014	4.057729
30	0	-633.8953	-624.049	-9.846314	797076.4	12.38262	0.998577	0.999636	1.00036	1.00142	4.120466
31	1	-623.4165	-618.1438	-5.272733	426666.7	14.89157	0.998055	0.999502	1.0005	1.00195	3.717296
32	0	-623.3792	-623.8502	0.4709915	844746	15.04545	0.998617	0.999646	1.00035	1.00138	3.33032
33	1	-624.5133	-618.6845	-5.828704	154190.4	14.45585	0.996765	0.999171	1.00082	1.00324	3.769061
34	0	-624.6342	-615.0959	-9.538291	338879.7	10.04433	0.997817	0.999441	1.00056	1.00218	4.032946
35	1	-627.4763	-619.3394	-8.136839	656388.2	11.76173	0.998432	0.999599	1.0004	1.00157	3.980136
36	0	-631.2701	-624.5897	-6.680337	344565.5	12.51017	0.997835	0.999446	1.00055	1.00217	3.865122
37	1	-633.0011	-623.5461	-9.455001	437298.7	12.83392	0.998078	0.999508	1.00049	1.00192	4.080303
38	0	-637.3806	-631.3388	-6.041797	567615.2	12.66354	0.998313	0.999569	1.00043	1.00169	3.814538
39	1	-627.7617	-627.1389	-0.6227588	342906.7	12.52307	0.99783	0.999445	1.00055	1.00217	3.381418
40	0	-635.1142	-625.044	-10.0702	319711.9	12.68595	0.997753	0.999425	1.00057	1.00225	4.132103
41	1	-629.184	-623.1385	-6.045518	430530.8	11.72816	0.998063	0.999505	1.00049	1.00194	3.801356
42	0	-626.8826	-619.5606	-7.321989	376814.2	11.8979	0.99793	0.99947	1.00053	1.00207	3.913149
43	1	-635.4306	-627.4388	-7.991784	190617.4	14.83035	0.99709	0.999255	1.00074	1.00291	3.902643
44	0	-639.8633	-624.6303	-15.23304	708078.3	12.34908	0.99849	0.999614	1.00039	1.00151	4.557204
45	1	-626.0768	-620.8286	-5.248242	925870.3	14.80659	0.998679	0.999662	1.00034	1.00132	3.718412
46	0	-621.5811	-616.0251	-5.556	954620	13.9063	0.998699	0.999667	1.00033	1.0013	3.764162
47	1	-624.2605	-624.0337	-0.2268004	285300.3	13.2704	0.997621	0.999391	1.00061	1.00238	3.372652
48	0	-627.065	-618.0662	-8.998806	863452.6	14.43702	0.998632	0.99965	1.00035	1.00137	3.989215
49	1	-618.4037	-617.7765	-0.6272751	244469.3	13.76267	0.99743	0.999342	1.00066	1.00257	3.408938
50	0	-643.706	-625.318	-18.38803	518173	8.151958	0.998235	0.999548	1.00045	1.00177	4.795191
51	1	-630.3196	-619.6959	-10.62368	251321	11.34723	0.997466	0.999351	1.00065	1.00254	4.190739
52	0	-626.1275	-618.4408	-7.68673	481169.1	12.28223	0.998168	0.999531	1.00047	1.00183	3.946148
53	1	-623.759	-619.7127	-4.046323	583275.3	14.32071	0.998336	0.999574	1.00042	1.00166	3.648605
54	0	-632.167	-626.2207	-5.946283	55552.97	12.84373	0.994612	0.998617	1.00137	1.0054	3.806882
55	1	-630.3194	-619.4291	-10.8903	304180.7	12.65147	0.997696	0.99941	1.00059	1.00231	4.19776
56	0	-631.786	-624.9479	-6.838126	513921	11.02294	0.998227	0.999547	1.00045	1.00177	3.842336
57	1	-634.105	-622.3215	-11.78343	216873.8	10.99955	0.997272	0.999302	1.0007	1.00273	4.290674
58	0	-630.7695	-616.8481	-13.92144	715330.3	10.78826	0.998498	0.999616	1.00038	1.0015	4.485113
59	1	-628.2327	-621.9133	-6.319353	867518.4	10.08351	0.998636	0.999651	1.00035	1.00137	3.716961
60	0	-643.2834	-629.4322	-13.85118	365357.1	10.68061	0.997898	0.999462	1.00054	1.0021	4.477869
61	1	-628.3871	-619.4064	-8.980704	91475.32	12.6453	0.9958	0.998923	1.00107	1.00421	4.046926
62	0	-630.2901	-618.3062	-11.98385	152172.8	9.800518	0.996743	0.999166	1.00083	1.00326	4.259911
63	1	-628.0115	-621.9204	-6.091091	912841.1	12.78629	0.99867	0.99966	1.00034	1.00133	3.81833
64	0	-634.6865	-621.293	-13.39355	485421.5	10.96726	0.998176	0.999533	1.00047	1.00183	4.437035
65	1	-646.6516	-630.0893	-16.56232	188439.7	9.611659	0.997073	0.999251	1.00075	1.00293	4.720641
66	0	-633.2853	-625.8634	-7.421848	697713.3	14.79966	0.998479	0.999611	1.00039	1.00152	3.865503
67	1	-626.3239	-621.3988	-4.925162	720488.5	12.35108	0.998503	0.999617	1.00038	1.0015	3.722529
68	0	-629.5047	-623.5586	-5.946182	650747.7	11.98983	0.998425	0.999597	1.0004	1.00158	3.799604
69	1	-628.0045	-620.9055	-7.099002	527068.1	11.25556	0.99825	0.999552	1.00045	1.00175	3.876596
70	0	-630.397	-624.3983	-5.998621	993336.8	11.20389	0.998725	0.999674	1.00033	1.00128	3.776237
71	1	-631.5731	-624.3853	-7.187847	253201.9	10.2269	0.997475	0.999354	1.00064	1.00253	3.817379
72	0	-642.2559	-634.324	-7.931902	794226.3	11.03947	0.998574	0.999635	1.00036	1.00143	3.942284
73	1	-630.6769	-621.847	-8.829867	919075.3	10.65977	0.998674	0.999661	1.00034	1.00133	4.006618
74	0	-632.9371	-620.1275	-12.80953	820643.8	13.65968	0.998597	0.999641	1.00036	1.0014	4.299944
75	1	-632.5247	-623.9537	-8.570946	200660.3	10.9154	0.997164	0.999274	1.00072	1.00284	3.995105
76	0	-635.6017	-623.2271	-12.37465	907712.8	9.266316	0.998666	0.999659	1.00034	1.00133	4.250713
77	1	-634.7086	-625.578	-9.130611	508766.2	10.35543	0.998218	0.999544	1.00045	1.00178	4.016634
78	0	-631.7359	-620.824	-10.91182	902556.2	9.29983	0.998662	0.999658	1.00034	1.00134	4.097177
79	1	-638.3872	-630.4006	-7.986611	195789.4	10.72186	0.997129	0.999265	1.00073	1.00287	3.931234
80	0	-638.0272	-624.0765	-13.95078	243961.2	10.30894	0.997428	0.999342	1.00066	1.00257	4.480962
81	1	-640.8727	-625.7523	-15.12041	580313.2	9.40238	0.998332	0.999573	1.00043	1.00167	4.557402
82	0	-627.4339	-622.1366	-5.297357	407661.9	15.84382	0.99801	0.999491	1.00051	1.00199	3.682934
83	1	-637.5248	-626.7928	-10.73199	587479.7	10.63261	0.998342	0.999576	1.00042	1.00166	4.184021
84	0	-625.2218	-614.8684	-10.35343	482198.8	15.36699	0.99817	0.999532	1.00047	1.00183	4.031026
85	1	-632.564	-622.1407	-10.42336	165416.5	9.297917	0.996876	0.9992	1.0008	1.00313	4.044398
86	0	-645.8194	-635.0835	-10.73591	746999.6	10.86467	0.99853	0.999624	1.00038	1.00147	4.192092
87	1	-619.7019	-615.4174	-4.284494	878122	12.80904	0.998644	0.999653	1.00035	1.00136	3.67723
88	0	-637.9855	-626.6504	-11.33511	415565	10.74056	0.998029	0.999496	1.0005	1.00197	4.244078
89	1	-637.1444	-621.704	-15.44043	966977.3	11.25012	0.998708	0.99967	1.00033	1.00129	4.617827
90	0	-640.0183	-633.1088	-6.909491	483177.7	14.15133	0.998172	0.999532	1.00047	1.00183	3.854115
91	1	-621.0515	-614.1703	-6.88121	203917.9	13.33474	0.997187	0.99928	1.00072	1.00282	3.872941
92	0	-637.7808	-633.6608	-4.120049	719822.8	13.63799	0.998502	0.999617	1.00038	1.0015	3.664005
93	1	-635.5697	-623.2811	-12.28862	997017.9	11.59852	0.998727	0.999675	1.00032	1.00127	4.335472
94	0	-633.4835	-626.6298	-6.853783	146816	11.82841	0.996685	0.999151	1.00085	1.00332	3.872474
95	1	-626.4317	-620.2586	-6.173157	723463.4	14.64651	0.998506	0.999618	1.00038	1.00149	3.786537
96	0	-650.0585	-640.1461	-9.912424	95875.98	12.99057	0.995898	0.998948	1.00105	1.00411	4.111529
97	1	-639.633	-630.4798	-9.153149	851621.8	10.85662	0.998623	0.999648	1.00035	1.00138	4.046079
98	0	-629.7669	-632.1905	2.423664	458812.3	19.25436	0.998124	0.99952	1.00048	1.00188	3.110541
99	1	-628.8242	-618.3684	-10.45579	682384.6	15.82926	0.998462	0.999607	1.00039	1.00154	4.009422
100	0	-640.0907	-629.5437	-10.54693	184520.9	12.24969	0.997042	0.999243	1.00075	1.00296	4.179609
101	1	-624.2568	-614.7268	-9.530081	562528	14.95777	0.998306	0.999567	1.00043	1.0017	3.999706
102	0	-627.1719	-614.9	-12.27194	28365.83	12.21171	0.992463	0.998062	1.00192	1.00756	4.32152
103	1	-625.5872	-618.5579	-7.029339	884413.6	9.860722	0.998649	0.999654	1.00034	1.00135	3.761906
104	0	-631.7002	-623.4343	-8.265886	59924.24	13.37813	0.994812	0.998669	1.00132	1.0052	3.975618
105	1	-617.7339	-613.3988	-4.335132	407366.1	16.38739	0.998009	0.999491	1.00051	1.00199	3.6004
106	0	-626.9296	-620.2423	-6.687304	650959.2	12.4781	0.998425	0.999597	1.0004	1.00158	3.865637
107	1	-635.4557	-629.0501	-6.40554	316392	15.36237	0.997741	0.999422	1.00058	1.00226	3.774315
108	0	-620.0335	-618.1881	-1.845431	76023.08	16.60641	0.995394	0.998819	1.00117	1.00461	3.441127
109	1	-651.7878	-630.1107	-21.67702	240294.7	7.782061	0.997408	0.999337	1.00066	1.00259	5.150934
110	0	-625.0514	-622.1086	-2.942828	790031.6	11.99637	0.99857	0.999634	1.00036	1.00143	3.549386
111	1	-667.3317	-645.5277	-21.80403	528057.5	8.207022	0.998251	0.999553	1.00045	1.00175	5.219738
112	0	-637.048	-625.3709	-11.67709	597432.6	11.85195	0.998356	0.999579	1.00042	1.00164	4.279903
113	1	-645.5959	-634.2931	-11.30275	900948.6	9.94422	0.998661	0.999658	1.00034	1.00134	4.201622
114	0	-642.5073	-630.4984	-12.00889	424818.4	12.13897	0.99805	0.999501	1.0005	1.00195	4.301844
115	1	-623.2932	-618.8686	-4.424692	660500.9	12.34911	0.998436	0.9996	1.0004	1.00156	3.681969
116	0	-641.7383	-629.9109	-11.82738	711693.2	10.95987	0.998494	0.999615	1.00038	1.00151	4.294126
117	1	-625.0583	-618.6767	-6.381516	284612.6	14.47413	0.997618	0.99939	1.00061	1.00238	3.806694
118	0	-626.4855	-619.197	-7.288523	409291	12.13149	0.998014	0.999492	1.00051	1.00199	3.912928
119	1	-631.3095	-620.1388	-11.17076	706336.5	14.27921	0.998488	0.999613	1.00039	1.00151	4.148363
120	0	-620.5823	-613.1987	-7.383513	36778.62	10.05963	0.99338	0.998299	1.00169	1.00664	3.820024
121	1	-625.3682	-617.5216	-7.846625	237401.2	13.57572	0.997392	0.999332	1.00067	1.00261	3.939039
122	0	-619.8323	-619.5702	-0.2621044	52486.92	13.8399	0.994457	0.998577	1.00141	1.00555	3.383034
123	1	-627.1105	-622.9076	-4.202845	468672.8	12.14563	0.998144	0.999525	1.00047	1.00186	3.658974
124	0	-627.4947	-620.5744	-6.920306	690202.6	12.66352	0.99847	0.999609	1.00039	1.00153	3.883911
125	1	-632.1153	-627.0414	-5.073898	981198.9	11.56157	0.998717	0.999672	1.00033	1.00128	3.711866
126	0	-633.6131	-623.4101	-10.20302	118143	11.61258	0.996304	0.999053	1.00094	1.0037	4.155703
127	1	-642.7621	-630.5107	-12.2514	791179.7	14.15362	0.998571	0.999635	1.00036	1.00143	4.231466
128	0	-639.2498	-629.2443	-10.00554	166715.7	9.643438	0.996889	0.999203	1.00079	1.00311	4.041961
129	1	-640.7256	-628.2523	-12.47323	541598.1	11.05682	0.998273	0.999558	1.00044	1.00173	4.353754
130	0	-641.5156	-627.0878	-14.42778	854227.8	9.141823	0.998625	0.999648	1.00035	1.00138	4.460451
131	1	-620.6369	-612.6505	-7.986387	219919.8	10.97594	0.997291	0.999306	1.00069	1.00271	3.944407
132	0	-615.5031	-615.3086	-0.1945243	510433.1	13.52852	0.998221	0.999545	1.00045	1.00178	3.374723
133	1	-634.8181	-631.7986	-3.019442	466145.5	12.98006	0.998139	0.999524	1.00047	1.00186	3.580796
134	0	-635.2714	-622.6756	-12.59579	12052.09	12.96883	0.988445	0.997019	1.00293	1.0116	4.319079
135	1	-623.6296	-618.5395	-5.090088	166448.1	13.49929	0.996886	0.999203	1.00079	1.00312	3.736946
136	0	-626.2296	-620.3468	-5.882765	344339.7	13.73218	0.997835	0.999446	1.00055	1.00217	3.791427
137	1	-627.0782	-621.2486	-5.829567	774855.1	14.51072	0.998556	0.999631	1.00037	1.00144	3.767427
138	0	-626.2678	-619.964	-6.303728	292526.1	12.85266	0.997651	0.999399	1.0006	1.00235	3.834667
139	1	-633.2174	-628.1625	-5.054891	364464.9	12.76031	0.997895	0.999461	1.00054	1.00211	3.737177
140	0	-627.9859	-618.6666	-9.319251	398735	17.76451	0.997988	0.999485	1.00051	1.00201	3.81801
141	1	-630.254	-629.2522	-1.001734	715787.5	12.00686	0.998498	0.999616	1.00038	1.0015	3.388158
142	0	-622.3018	-617.8421	-4.459742	340652.5	16.26786	0.997823	0.999443	1.00056	1.00218	3.613033
143	1	-625.5221	-619.8878	-5.634323	653530.1	17.34737	0.998428	0.999598	1.0004	1.00157	3.63235
144	0	-637.1978	-629.9373	-7.26048	864832.2	11.55785	0.998633	0.999651	1.00035	1.00137	3.90089
145	1	-632.6794	-622.5946	-10.08481	329418.2	9.013885	0.997786	0.999433	1.00056	1.00222	3.965049
146	0	-647.4396	-631.4197	-16.0199	71447.89	10.30001	0.995249	0.998781	1.00121	1.00476	4.681614
147	1	-631.9068	-625.9731	-5.933748	262280.8	9.079109	0.997519	0.999365	1.00063	1.00248	3.518417
148	0	-631.976	-618.899	-13.07693	633961.6	11.43745	0.998404	0.999592	1.00041	1.0016	4.40591
149	1	-628.0914	-625.1714	-2.919956	960274	14.50205	0.998703	0.999668	1.00033	1.0013	3.567063
150	0	-644.3366	-628.8489	-15.48772	468183.2	11.87215	0.998143	0.999525	1.00047	1.00186	4.600569
151	1	-633.7449	-626.7261	-7.018814	79448.39	10.97189	0.995494	0.998845	1.00115	1.00451	3.856035
152	0	-627.9438	-623.2129	-4.730901	867591.9	11.93601	0.998636	0.999651	1.00035	1.00136	3.696599
153	1	-615.3191	-613.8945	-1.424577	487245.6	14.30288	0.99818	0.999534	1.00046	1.00182	3.465658
154	0	-638.7648	-629.1138	-9.650959	797312	12.99339	0.998577	0.999636	1.00036	1.00142	4.091323
155	1	-632.0734	-624.0291	-8.044328	806952	11.18117	0.998585	0.999638	1.00036	1.00142	3.958018
156	0	-631.7416	-624.246	-7.49556	990376.8	14.25243	0.998723	0.999673	1.00033	1.00128	3.891951
157	1	-636.6013	-626.4407	-10.1605	227822.1	13.05644	0.997338	0.999319	1.00068	1.00266	4.128534
158	0	-628.1259	-613.6309	-14.49498	22883.38	11.83649	0.99161	0.997841	1.00213	1.00842	4.518199
159	1	-631.2473	-621.452	-9.795286	516677.3	11.72736	0.998232	0.999548	1.00045	1.00177	4.121077
160	0	-632.7081	-619.9052	-12.80295	460964.1	12.6352	0.998128	0.999521	1.00048	1.00187	4.349604
161	1	-624.417	-619.2164	-5.200649	901792.5	11.52396	0.998662	0.999658	1.00034	1.00134	3.721211
162	0	-631.4736	-623.1475	-8.326018	418603.4	10.6266	0.998036	0.999498	1.0005	1.00197	3.957377
163	1	-629.8983	-620.5197	-9.378644	576028.1	12.44903	0.998326	0.999572	1.00043	1.00168	4.081764
164	0	-623.9162	-616.44	-7.476187	904851.1	12.84077	0.998664	0.999658	1.00034	1.00134	3.926035
165	1	-627.9045	-620.1445	-7.760049	774805.5	12.40298	0.998556	0.999631	1.00037	1.00144	3.951923
166	0	-629.6732	-622.3911	-7.282166	158661.6	13.88931	0.996811	0.999183	1.00081	1.00319	3.888803
167	1	-639.2567	-623.6112	-15.64549	344574.4	12.87557	0.997835	0.999446	1.00055	1.00217	4.560084
168	0	-624.7641	-624.2615	-0.5026323	442107	17.32458	0.998089	0.999511	1.00049	1.00191	3.337313
169	1	-647.7227	-640.7438	-6.978864	616358	10.10728	0.998381	0.999586	1.00041	1.00162	3.784881
170	0	-630.6945	-625.9579	-4.736528	931229.5	12.22868	0.998683	0.999663	1.00034	1.00132	3.704829
171	1	-638.4243	-629.326	-9.098304	578277.2	11.57983	0.998329	0.999573	1.00043	1.00167	4.060183
172	0	-639.9019	-624.0381	-15.86377	254379.8	11.98469	0.997481	0.999355	1.00064	1.00252	4.627016
173	1	-624.6946	-619.5785	-5.116025	570105.4	12.35858	0.998317	0.99957	1.00043	1.00168	3.738098
174	0	-624.3979	-627.5479	3.150017	714295.3	15.43412	0.998496	0.999615	1.00038	1.0015	3.152118
175	1	-630.4231	-621.214	-9.209097	796072.4	9.889305	0.998576	0.999636	1.00036	1.00143	3.985798
176	0	-630.6452	-625.098	-5.547286	77916.44	12.34422	0.99545	0.998833	1.00116	1.00456	3.772812
177	1	-633.7967	-623.3592	-10.43755	832975.2	10.53918	0.998608	0.999644	1.00036	1.00139	4.152239
178	0	-642.04	-625.2183	-16.82173	832203.8	10.21884	0.998607	0.999644	1.00036	1.00139	4.75937
179	1	-634.3812	-625.4744	-8.906836	134574.9	12.09444	0.996537	0.999113	1.00088	1.00347	4.046436
180	0	-624.5699	-622.5529	-2.016969	841568.1	11.0884	0.998615	0.999646	1.00035	1.00139	3.410912
181	1	-637.2381	-621.5611	-15.6771	338583.6	11.79549	0.997816	0.999441	1.00056	1.00219	4.619814
182	0	-633.2787	-622.7943	-10.48444	701500.5	10.50679	0.998483	0.999612	1.00039	1.00152	4.155178
183	1	-640.5711	-626.0017	-14.56942	926034.7	12.36493	0.998679	0.999662	1.00034	1.00132	4.502726
184	0	-624.3981	-619.8874	-4.510669	473916.7	13.34514	0.998154	0.999528	1.00047	1.00185	3.695113
185	1	-631.9065	-619.0728	-12.83366	15557.99	10.82174	0.989828	0.997379	1.00258	1.01021	4.384703
186	0	-624.3188	-617.2183	-7.100483	490397.8	11.17694	0.998185	0.999536	1.00046	1.00182	3.873419
187	1	-630.0242	-619.6731	-10.35109	526060.1	10.03138	0.998248	0.999552	1.00045	1.00175	4.112877
188	0	-633.9984	-627.2426	-6.755831	874461.5	13.04097	0.998641	0.999652	1.00035	1.00136	3.867958
189	1	-627.7805	-619.2177	-8.56281	836812.3	12.5515	0.998611	0.999645	1.00035	1.00139	4.015118
190	0	-636.2926	-626.9664	-9.326291	733111.9	17.86591	0.998516	0.99962	1.00038	1.00148	3.811847
191	1	-630.1157	-619.495	-10.62066	607896.7	12.49876	0.99837	0.999583	1.00042	1.00163	4.180366
192	0	-631.2785	-621.434	-9.844547	663339.7	12.20303	0.99844	0.999601	1.0004	1.00156	4.122847
193	1	-626.4997	-619.9077	-6.591967	412204.8	10.77728	0.998021	0.999494	1.0005	1.00198	3.804982
194	0	-631.626	-619.5771	-12.04884	196043.1	9.40732	0.997131	0.999265	1.00073	1.00287	4.231243
195	1	-627.0808	-619.3813	-7.69954	372211	11.33217	0.997917	0.999467	1.00053	1.00208	3.932559
196	0	-632.0724	-628.7253	-3.347135	914199.5	10.79073	0.998671	0.99966	1.00034	1.00133	3.505178
197	1	-638.9117	-622.8285	-16.08311	735752.8	9.451314	0.998518	0.999621	1.00038	1.00148	4.662641
198	0	-627.0882	-624.2255	-2.862697	375302.7	13.72238	0.997926	0.999469	1.00053	1.00208	3.571541
