Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-983.1	-907.5842	-75.51582	978696	4.353908	0.998715	0.999672	1.00033	1.00129	14.92709
10	-792.9971	-731.4746	-61.52242	949103.2	4.906557	0.998696	0.999666	1.00033	1.00131	11.61338
20	-688.4704	-646.6887	-41.78172	717429.4	4.292715	0.9985	0.999616	1.00038	1.0015	7.116115
30	-657.2979	-636.2894	-21.00857	867997.7	10.36118	0.998636	0.999651	1.00035	1.00136	5.163417
40	-639.0797	-626.8565	-12.22314	726865.3	8.336597	0.998509	0.999619	1.00038	1.00149	4.082075
50	-632.7523	-621.135	-11.61734	274817.2	10.42865	0.997576	0.99938	1.00062	1.00243	4.259938
60	-635.3213	-624.3912	-10.93004	186796.8	13.08979	0.997061	0.999247	1.00075	1.00294	4.186234
70	-634.2635	-621.1166	-13.14692	287327.8	10.80383	0.99763	0.999393	1.0006	1.00237	4.413479
80	-625.2103	-619.7178	-5.492567	691470.5	14.06592	0.998472	0.999609	1.00039	1.00153	3.756048
90	-618.6601	-611.2758	-7.384321	643835.7	12.35873	0.998416	0.999595	1.0004	1.00158	3.921638
100	-630.4256	-621.5716	-8.854009	434661.1	11.32002	0.998073	0.999507	1.00049	1.00193	4.034146
110	-627.8002	-625.1796	-2.620605	432876.4	13.97605	0.998069	0.999506	1.00049	1.00193	3.552605
120	-630.3265	-624.1264	-6.200126	282552.7	11.79696	0.99761	0.999388	1.00061	1.00239	3.816412
130	-636.7225	-622.9357	-13.78678	241963.5	9.927788	0.997417	0.999339	1.00066	1.00259	4.450623
140	-635.9443	-626.1102	-9.834086	32744.34	11.27649	0.992984	0.998197	1.00179	1.00703	4.119979
150	-621.0583	-613.4011	-7.657217	19387.08	11.1322	0.990886	0.997654	1.00232	1.00914	3.921426
160	-620.0093	-614.7959	-5.213385	24648.33	10.83113	0.991915	0.99792	1.00206	1.00811	3.681259
170	-627.9114	-629.2435	1.332087	6857.398	15.3453	0.984692	0.996038	1.00388	1.01539	3.270807
180	-621.4853	-618.8128	-2.672456	7140.576	15.38376	0.984998	0.996118	1.0038	1.01508	3.530738
190	-627.2428	-616.2323	-11.01041	12128.93	12.64727	0.988482	0.997029	1.00292	1.01157	4.207379
200	-629.95	-617.7073	-12.24263	67870.67	14.5174	0.995125	0.99875	1.00124	1.00488	4.208969
210	-642.7101	-625.1481	-17.56206	554885.7	11.11967	0.998294	0.999564	1.00044	1.00171	4.811655
220	-633.9702	-622.6798	-11.2904	182520.8	11.76053	0.997026	0.999238	1.00076	1.00298	4.248268
