Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	part_rate[1]	part_rate[2]	part_rate_mult[1]	part_rate_mult[2]	pinvar[1]	pinvar[2]	TL
0	-36119.82	-36106.55	-13.27149	8.18529e+07	5.84652e+07	0.00927877	0.04287	0.00516805	0.149297	0.0419066	0.0815375	0.0431982	0.0768058	0.0964704	0.0560911	0.00541346	0.0460979	0.0120182	0.413173	0.0772005	0.00643568	0.0471152	0.0828376	0.116127	0.173532	0.00524976	0.15925	0.137544	0.230686	0.0790935	0.0111182	0.00427848	0.174542	0.090852	0.0475306	0.0451513	0.15095	0.0219479	0.297091	0.0278715	0.0381545	0.0606231	0.0241655	0.0728991	0.0944343	0.0142396	0.0271969	0.0503302	0.67863	1.32137	0.339315	0.660685	0.566981	0.0588454	3.447771
10	-26091.8	-26070.75	-21.05312	4.75506e+07	8.4287e+07	0.0394203	0.188727	0.0109317	0.155119	0.108244	0.167538	0.0532059	0.0962724	0.139812	0.0655533	0.0081877	0.153464	0.0540602	0.318081	0.200288	0.012172	0.163337	0.148972	0.157167	0.155311	0.00791913	0.104068	0.268509	0.0549476	0.0813733	0.0344022	0.0264526	0.0597018	0.0654701	0.0155623	0.123057	0.137995	0.0196091	0.209655	0.061983	0.114459	0.170726	0.019491	0.0336432	0.0719396	0.0232926	0.0271328	0.0986827	0.924226	1.07577	0.462113	0.537887	0.730115	0.626631	4.225934
20	-23290.74	-23265.75	-24.99729	1.98215e+07	6.57451e+07	0.0838367	0.146148	0.0288162	0.108219	0.127468	0.189297	0.219658	0.138744	0.122773	0.124459	0.0205106	0.154903	0.104214	0.353954	0.139382	0.0446855	0.127662	0.155797	0.136982	0.162127	0.0534184	0.113178	0.240302	0.0429468	0.0678409	0.0331448	0.0539783	0.107602	0.0429193	0.0170228	0.177747	0.0146568	0.0253929	0.0522116	0.0842332	0.130135	0.169085	0.0515067	0.0501478	0.0518245	0.140357	0.0360854	0.174979	0.851957	1.14804	0.425978	0.574022	0.675613	0.529687	4.620351
30	-22323.34	-22285.76	-37.58169	8.6915e+07	8.92295e+06	0.103849	0.201057	0.102897	0.124975	0.148699	0.228633	0.247806	0.150965	0.163042	0.14149	0.030582	0.158935	0.151244	0.256886	0.212647	0.122447	0.147188	0.16514	0.205537	0.21005	0.217528	0.163899	0.40905	0.0470097	0.0921694	0.0440847	0.0652855	0.186556	0.0111388	0.033458	0.183347	0.0453737	0.0373866	0.0172415	0.118286	0.10702	0.130153	0.168005	0.170535	0.0618248	0.0505953	0.0338671	0.210906	0.823118	1.17688	0.411559	0.588441	0.56086	0.465586	5.878791
40	-22000.95	-21958.93	-42.02125	8.53837e+07	3.99225e+06	0.143735	0.181981	0.16347	0.142451	0.161224	0.209852	0.229058	0.128985	0.208633	0.187353	0.301351	0.217907	0.179834	0.241497	0.191879	0.101859	0.125778	0.209157	0.221821	0.217474	0.296292	0.156368	0.327327	0.0302018	0.161813	0.211785	0.0275391	0.167355	0.0325716	0.0251082	0.025502	0.0247843	0.0485516	0.0347928	0.111253	0.142584	0.0438414	0.0899442	0.136841	0.0493244	0.0819754	0.0475717	0.284121	0.937682	1.06232	0.468841	0.531159	0.549462	0.465586	6.322747
50	-21915.36	-21862.91	-52.44394	2.68491e+07	9.51704e+06	0.16343	0.171406	0.203669	0.103647	0.174436	0.218501	0.306226	0.166548	0.275487	0.199076	0.32287	0.23725	0.229921	0.269461	0.247218	0.140497	0.166415	0.204193	0.284464	0.251542	0.405469	0.183078	0.459903	0.0559896	0.259713	0.212265	0.050824	0.121864	0.0902067	0.0376837	0.0162173	0.0366433	0.0243411	0.0398316	0.110079	0.126177	0.0623971	0.0470365	0.144992	0.069347	0.0790832	0.0709714	0.324645	0.937682	1.06232	0.468841	0.531159	0.465779	0.421213	7.365016
60	-21871.01	-21820.11	-50.89922	3.16568e+07	3.38584e+07	0.115667	0.232924	0.222486	0.14671	0.155885	0.243475	0.324272	0.162261	0.176573	0.172531	0.32287	0.247183	0.229921	0.289621	0.247218	0.170925	0.158856	0.238476	0.208251	0.245548	0.405469	0.230089	0.459903	0.0397103	0.21524	0.154906	0.0687477	0.0852162	0.058192	0.052862	0.0526733	0.0452857	0.054416	0.034034	0.093996	0.141478	0.0305096	0.0703464	0.150948	0.0246719	0.079512	0.0408593	0.309824	0.937682	1.06232	0.468841	0.531159	0.44873	0.407734	7.210544
70	-21860.84	-21810.9	-49.94601	1.01008e+07	4.06787e+07	0.186534	0.209334	0.201182	0.131667	0.179449	0.245488	0.30815	0.163316	0.252073	0.184601	0.271824	0.191293	0.233378	0.26079	0.22836	0.149682	0.171669	0.213401	0.265114	0.249101	0.39232	0.233594	0.375574	0.0307962	0.138967	0.187174	0.0383771	0.0885895	0.0919886	0.0564588	0.0509043	0.0395387	0.0801583	0.0222751	0.0967929	0.129503	0.0264857	0.0613548	0.144921	0.0672761	0.0711056	0.0322084	0.362455	0.937682	1.06232	0.468841	0.531159	0.44873	0.407734	7.115224
80	-21847.59	-21795.43	-52.15269	4.26436e+07	4.95607e+07	0.18027	0.207198	0.223283	0.164903	0.159767	0.245488	0.322599	0.159041	0.204324	0.14619	0.263256	0.212773	0.220768	0.304124	0.280056	0.159582	0.168815	0.236677	0.240633	0.263205	0.38381	0.244709	0.430828	0.0399601	0.208836	0.15105	0.0380884	0.100221	0.101876	0.0488292	0.0488786	0.0523731	0.0388856	0.0360327	0.123389	0.139409	0.0386401	0.0870027	0.129742	0.0738998	0.102731	0.0691963	0.284552	0.937682	1.06232	0.468841	0.531159	0.44873	0.407734	7.335891
90	-21850.5	-21799.21	-51.29248	7.11704e+07	4.49613e+07	0.203629	0.218681	0.190513	0.152721	0.165859	0.234501	0.322599	0.160556	0.204374	0.18112	0.265253	0.238273	0.232739	0.255688	0.221329	0.133629	0.176486	0.236677	0.227996	0.247137	0.38381	0.241537	0.424176	0.0691442	0.188508	0.140517	0.0511335	0.0929468	0.108456	0.0728182	0.0490786	0.0571558	0.0649885	0.0448465	0.123381	0.133187	0.0654651	0.0546156	0.14334	0.0371711	0.0662188	0.041127	0.326489	0.946556	1.05344	0.473278	0.526722	0.446114	0.412048	7.24987
100	-21849.16	-21797.05	-52.10606	9.48033e+07	1.64823e+07	0.198643	0.239859	0.220342	0.169509	0.185865	0.22219	0.310764	0.185819	0.19285	0.177451	0.279834	0.190223	0.232739	0.267088	0.253041	0.196785	0.166247	0.211199	0.257587	0.264599	0.387863	0.191192	0.426537	0.0528756	0.205368	0.187377	0.0199122	0.130745	0.0552141	0.0475814	0.0567579	0.033653	0.0575645	0.0560068	0.0833306	0.178056	0.0590063	0.0796988	0.130116	0.0564647	0.0798454	0.0535278	0.2799	0.946556	1.05344	0.473278	0.526722	0.448971	0.407791	7.331228
110	-21862.81	-21813.86	-48.95231	3.33434e+07	7.02462e+07	0.168401	0.240484	0.1945	0.151377	0.211661	0.252152	0.308648	0.172336	0.196316	0.166833	0.289527	0.229847	0.180213	0.267088	0.23183	0.127901	0.14966	0.259469	0.194259	0.229035	0.347167	0.229584	0.426537	0.0360085	0.142952	0.166843	0.0443612	0.078729	0.121764	0.0554292	0.0555357	0.0471939	0.0498266	0.0483877	0.119243	0.112503	0.0465576	0.0853258	0.0894681	0.0991307	0.0920446	0.0488052	0.25092	0.946556	1.05344	0.473278	0.526722	0.445054	0.439587	7.015853
120	-21866.13	-21819	-47.12291	3.29299e+07	4.42505e+07	0.134921	0.187428	0.194402	0.189833	0.163049	0.262153	0.302254	0.153403	0.197557	0.166723	0.268715	0.192015	0.221568	0.226147	0.231217	0.184235	0.14713	0.210742	0.210575	0.245261	0.325448	0.208768	0.320758	0.0537303	0.120049	0.223605	0.0517915	0.114364	0.076277	0.0449705	0.0626736	0.0773673	0.0277526	0.0400626	0.0890522	0.161417	0.0408734	0.0724342	0.120267	0.0782874	0.070077	0.056757	0.306801	0.989372	1.01063	0.494686	0.505314	0.433155	0.444085	6.832913
130	-21848.47	-21799.29	-49.18142	7.24485e+07	9.11095e+07	0.133646	0.206617	0.194402	0.178233	0.172829	0.208005	0.302254	0.148793	0.201937	0.211908	0.324656	0.193164	0.196293	0.257977	0.246795	0.152608	0.160891	0.241952	0.208126	0.279164	0.350531	0.226865	0.418456	0.0451183	0.183675	0.151826	0.0519425	0.120194	0.057526	0.0474857	0.056213	0.0629251	0.0351856	0.0413005	0.105195	0.111789	0.0574399	0.0961973	0.105832	0.0741146	0.0897545	0.0464788	0.28247	0.989372	1.01063	0.494686	0.505314	0.460784	0.447302	7.038764
140	-21846.61	-21795.44	-51.16891	7.53012e+07	9.23114e+07	0.160737	0.187978	0.185991	0.157856	0.15409	0.250078	0.327742	0.165807	0.207751	0.179893	0.316023	0.193164	0.196293	0.264989	0.26573	0.170676	0.170654	0.230941	0.244816	0.288381	0.38088	0.215206	0.47304	0.0331203	0.2027	0.149892	0.058714	0.0946874	0.0643817	0.0993042	0.0409718	0.0319115	0.0670686	0.0439488	0.098294	0.111789	0.0412528	0.0910577	0.136402	0.0716873	0.0759825	0.0452468	0.290385	1.00829	0.991712	0.504144	0.495856	0.419837	0.4289	7.237513
