Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
0	-37496	-37482.13	-13.864	6.274663e+07	0.143242	0.00825578	0.0534758	0.0901022	0.100935	0.151396	0.0265137	0.116384	0.0486072	0.0079341	0.217604	0.225029	0.228351	0.179956	0.00574494	0.488481	0.0117692	0.0355539	0.0692824	0.0288022	0.25532	0.0212784	0.0941634	0.0486681	0.0244625	0.208888	0.130382	0.0226593	0.0525202	0.0981663	0.084041	0.0732335	0.0405176	0.0115653	0.264812	0.17722	0.16564	0.0282502	0.155521	0.0569067	0.198568	0.0118847	0.229078	0.0363251	0.108651	0.344754	0.245863	0.098775	0.165631	0.99984	0.999959	1.00004	1.00016	0.350121	0.380604	0.0313078	0.237967	0.9753421	4.691165
10	-26986.16	-26986.36	0.1974418	7.509053e+07	0.084204	0.0124182	0.0681076	0.0631601	0.103539	0.100043	0.0828659	0.153809	0.0455064	0.0310914	0.0755726	0.176397	0.0624292	0.0785542	0.0236807	0.142828	0.0461423	0.0458278	0.0801173	0.0780193	0.170703	0.0371697	0.200225	0.0400535	0.0424874	0.0667764	0.0512309	0.0135722	0.170797	0.0379379	0.16287	0.0515563	0.107401	0.0136548	0.0554635	0.0692978	0.0846909	0.00617552	0.0527066	0.0161203	0.131058	0.0146942	0.134065	0.00133325	0.141786	0.427862	0.0408102	0.196906	0.191302	0.999853	0.999963	1.00004	1.00015	0.174759	0.512206	0.0894499	0.223586	0.5898051	3.285021
20	-24125.38	-24128.36	2.986524	7.251969e+07	0.0634616	0.034462	0.087961	0.0717153	0.0652834	0.0948786	0.132361	0.151555	0.109122	0.0745225	0.142427	0.0829405	0.0997704	0.100918	0.0481405	0.100897	0.0885534	0.0907585	0.0848211	0.138387	0.150557	0.0591025	0.184726	0.0168664	0.0347702	0.0668219	0.0299098	0.0142153	0.0158511	0.0424551	0.121931	0.0309917	0.0541565	0.00919715	0.0155925	0.0435194	0.049332	0.00501619	0.0474419	0.0477437	0.0433838	0.0129602	0.0466364	0.00183379	0.313721	0.183545	0.0197288	0.254362	0.226809	0.999851	0.999961	1.00004	1.00015	0.211006	0.482577	0.0987185	0.207698	0.5505831	3.006113
30	-22947.31	-22943.57	-3.744283	8.182124e+07	0.0904085	0.0825035	0.111489	0.0867746	0.0819179	0.126091	0.166069	0.163158	0.104078	0.0855883	0.139578	0.107913	0.106048	0.101433	0.13387	0.100897	0.0879889	0.120648	0.130718	0.140499	0.162824	0.150221	0.290149	0.00831373	0.0241797	0.0639069	0.0370108	0.0106319	0.0291048	0.0217357	0.0817054	0.107765	0.0884382	0.00397344	0.015415	0.0561212	0.0990713	0.00429646	0.0385442	0.0436569	0.0179394	0.0205213	0.0359962	0.0058352	0.36195	0.142215	0.0210504	0.34786	0.12109	0.99986	0.999964	1.00004	1.00014	0.268197	0.450175	0.0819758	0.199652	0.5131867	3.679193
40	-22330.02	-22321.2	-8.820081	9.764027e+07	0.0909484	0.0966742	0.10184	0.0820395	0.0984593	0.120469	0.209962	0.119379	0.149265	0.114883	0.219818	0.106338	0.118315	0.107622	0.146561	0.153843	0.0928507	0.165701	0.125461	0.132227	0.232428	0.12532	0.280625	0.0137171	0.0260542	0.0226104	0.0219534	0.0112748	0.0568988	0.0236905	0.0899499	0.0911551	0.188841	0.0151588	0.0127884	0.115276	0.143462	0.00607727	0.0426952	0.0265995	0.00899713	0.0502681	0.0282779	0.0116115	0.278223	0.173997	0.0213448	0.491855	0.0229684	0.999871	0.999966	1.00003	1.00013	0.304158	0.361618	0.10607	0.228154	0.4645569	4.186773
50	-22024.72	-22016.86	-7.862666	8.999965e+07	0.0999319	0.109674	0.099636	0.0902983	0.100447	0.139759	0.210064	0.0733743	0.117901	0.0972762	0.168547	0.100097	0.113633	0.139747	0.134678	0.0895007	0.0955163	0.173523	0.125461	0.142593	0.232428	0.12828	0.324923	0.0249042	0.0222135	0.01851	0.0296599	0.00827444	0.037829	0.0598006	0.0906636	0.121074	0.131117	0.0326705	0.018898	0.0898939	0.120032	0.0175682	0.0303589	0.0184617	0.025577	0.0458105	0.0404252	0.0331972	0.286025	0.124523	0.023741	0.514554	0.0179599	0.999866	0.999965	1.00003	1.00013	0.318295	0.329269	0.119738	0.232698	0.4304029	4.091032
60	-21856.32	-21849.98	-6.33817	9.934641e+07	0.097285	0.108442	0.0974249	0.0959041	0.110095	0.108924	0.180558	0.0895196	0.114667	0.0912111	0.164744	0.114115	0.112465	0.133745	0.150824	0.0827615	0.0983938	0.125765	0.125461	0.156678	0.197093	0.128699	0.219112	0.0563413	0.0168276	0.0150779	0.0424952	0.0227659	0.0522487	0.0669192	0.0719955	0.0781286	0.146604	0.0340717	0.0154382	0.0816696	0.131805	0.00825726	0.0223965	0.0338585	0.0616491	0.0325688	0.0435771	0.0886854	0.273458	0.115256	0.0219742	0.476261	0.0243659	0.999873	0.999967	1.00003	1.00013	0.291605	0.32834	0.135732	0.244324	0.4019015	3.938582
70	-21824.48	-21819.01	-5.474037	9.896926e+07	0.075138	0.0985949	0.122311	0.0828015	0.0971312	0.123777	0.175773	0.0788084	0.117888	0.108062	0.164786	0.10168	0.100781	0.138461	0.144631	0.0750847	0.0919136	0.139818	0.103362	0.132828	0.215083	0.10367	0.22604	0.0701704	0.0218581	0.0250313	0.0347495	0.0198721	0.0414437	0.0645667	0.0676879	0.0687435	0.15519	0.0715332	0.0150029	0.0733427	0.114861	0.0137119	0.0218398	0.0464138	0.033949	0.0281387	0.0456382	0.0853968	0.324101	0.0865931	0.0222343	0.4586	0.0230744	0.999873	0.999967	1.00003	1.00013	0.300985	0.314579	0.119219	0.265218	0.4103629	3.852169
80	-21822.66	-21815.77	-6.887452	9.672531e+07	0.1051	0.137307	0.122672	0.0837845	0.106827	0.128891	0.186209	0.0805063	0.115688	0.100602	0.164786	0.120863	0.121624	0.151001	0.133139	0.0729699	0.104148	0.110914	0.138169	0.138976	0.231098	0.1125	0.226928	0.0702683	0.0228341	0.0268254	0.0280745	0.03997	0.0277687	0.0601573	0.053925	0.0868969	0.16015	0.0394092	0.0196673	0.0602934	0.106868	0.0142872	0.0257598	0.0312945	0.0364784	0.0361025	0.0517775	0.087575	0.318129	0.0831101	0.0271334	0.453771	0.0302817	0.999871	0.999967	1.00003	1.00013	0.295054	0.324587	0.11509	0.265269	0.4102455	3.99351
90	-21826.61	-21819.43	-7.179927	8.973109e+07	0.0923594	0.12902	0.09513	0.0577099	0.0865603	0.144782	0.167697	0.0852467	0.12986	0.0785997	0.164786	0.120863	0.131709	0.163162	0.136381	0.102768	0.0959053	0.130786	0.121259	0.138976	0.199173	0.11455	0.260608	0.0858057	0.0362212	0.0175022	0.0255324	0.0264928	0.0230551	0.0646495	0.074978	0.0880113	0.173011	0.0351881	0.0180239	0.0651789	0.12804	0.0473475	0.0221719	0.0491061	0.031661	0.0189611	0.0439273	0.0926235	0.3082	0.0879011	0.0242405	0.459464	0.0275714	0.999865	0.999965	1.00004	1.00013	0.300761	0.319226	0.119125	0.260888	0.4102455	4.022758
