Iteration	Posterior	Likelihood	Prior	alpha_morpho	branch_rate_var[1]	branch_rate_var[2]	branch_rate_var[3]	branch_rate_var[4]	branch_rate_var[5]	branch_rate_var[6]	branch_rate_var[7]	branch_rate_var[8]	branch_rate_var[9]	branch_rate_var[10]	branch_rate_var[11]	branch_rate_var[12]	branch_rate_var[13]	branch_rate_var[14]	branch_rate_var[15]	branch_rate_var[16]	branch_rate_var[17]	branch_rate_var[18]	branch_rate_var[19]	branch_rate_var[20]	branch_rate_var[21]	branch_rate_var[22]	branch_rate_var[23]	branch_rate_var[24]	branch_rate_var[25]	branch_rate_var[26]	branch_rate_var[27]	branch_rate_var[28]	branch_rate_var[29]	branch_rate_var[30]	branch_rate_var[31]	branch_rate_var[32]	branch_rate_var[33]	branch_rate_var[34]	branch_rate_var[35]	branch_rate_var[36]	branch_rate_var[37]	branch_rate_var[38]	branch_rate_var[39]	branch_rate_var[40]	branch_rate_var[41]	branch_rate_var[42]	branch_rate_var[43]	branch_rate_var[44]	branch_rate_var[45]	branch_rate_var[46]	branch_rate_var[47]	branch_rate_var[48]	branch_rate_var[49]	branch_rate_var[50]	branch_rate_var[51]	branch_rate_var[52]	origin_time	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	Root_age	tree_length	ucln_mean	ucln_mu	ucln_sigma	ucln_var
0	-903.6513	-972.6098	68.9585	322059.5	0.160093	0.202645	0.0984082	0.160489	0.133264	0.156578	0.116838	0.123649	0.169902	0.137783	0.148166	0.191014	0.111141	0.147622	0.209588	0.0892953	0.189065	0.113229	0.098195	0.169582	0.119707	0.135855	0.135602	0.138558	0.15686	0.203582	0.104276	0.122226	0.313435	0.139354	0.177541	0.262919	0.187089	0.14575	0.213315	0.27974	0.24366	0.131076	0.133885	0.203793	0.171947	0.208849	0.219037	0.253697	0.18879	0.172672	0.126237	0.187667	0.121545	0.144135	0.221682	0.156139	11.77192	0.997761	0.999427	1.00057	1.00224	11.77192	167.6959	0.1681001	-1.821636	0.2772753	0.07688159
10	-580.207	-654.4336	74.22654	994227.9	0.100206	0.119786	0.0827032	0.0956244	0.123114	0.0954289	0.0543822	0.100992	0.127761	0.155668	0.134063	0.0827913	0.123597	0.109479	0.109328	0.24843	0.165115	0.0958927	0.125932	0.166354	0.119548	0.158081	0.075426	0.0576217	0.0858253	0.109331	0.129478	0.150555	0.0812141	0.0932492	0.116327	0.17209	0.163705	0.146117	0.147923	0.120473	0.100279	0.0807044	0.0842103	0.0924545	0.11993	0.0662004	0.139805	0.0799835	0.109383	0.23134	0.126388	0.100115	0.101682	0.22214	0.0637089	0.288704	11.79237	0.998725	0.999674	1.00033	1.00128	11.79237	78.1651	0.1267675	-2.119886	0.330107	0.1089706
20	-526.64	-601.8152	75.17513	429046.2	0.184705	0.0322867	0.150992	0.0325059	0.0643309	0.0953643	0.0879943	0.0847714	0.104645	0.203735	0.0410495	0.0686738	0.0358413	0.0381782	0.203181	0.129354	0.126262	0.0813993	0.0655528	0.104057	0.151495	0.066989	0.083776	0.0749237	0.0521822	0.032845	0.0704225	0.0523191	0.0869323	0.0565239	0.0717606	0.109243	0.0312276	0.0540968	0.113469	0.0883288	0.106055	0.0779392	0.094455	0.0726698	0.0534071	0.0626386	0.246568	0.127826	0.0768035	0.0970373	0.0900135	0.0737102	0.0641204	0.102976	0.167045	0.0839149	11.76648	0.99806	0.999504	1.00049	1.00194	11.76648	69.44393	0.0939823	-2.474801	0.4693653	0.2203038
30	-500.702	-573.493	72.791	658698	0.0247748	0.0598299	0.100883	0.0497044	0.0517029	0.0907838	0.120911	0.116855	0.0646586	0.073201	0.122112	0.200047	0.0442476	0.0585681	0.0503792	0.0595895	0.038307	0.114905	0.0375979	0.0679424	0.0549678	0.112414	0.130997	0.12562	0.119769	0.0669206	0.142291	0.110478	0.0789612	0.0323329	0.163244	0.0614716	0.0565676	0.0822296	0.114129	0.275541	0.0358641	0.0390303	0.066551	0.0459773	0.227728	0.0661102	0.100264	0.0317256	0.104914	0.155808	0.0839965	0.0588844	0.0965327	0.0740536	0.0928351	0.0834029	11.75127	0.998434	0.9996	1.0004	1.00157	11.75127	73.83537	0.08373177	-2.644188	0.5728024	0.3281026
40	-486.4402	-578.5499	92.10969	919638.1	0.0316559	0.0367085	0.0883847	0.111685	0.0494438	0.0453307	0.0350005	0.0924689	0.0623986	0.17575	0.0516747	0.103219	0.0877298	0.112605	0.0411527	0.0920357	0.044467	0.0524279	0.0336617	0.0345997	0.0409888	0.0824305	0.0439006	0.0847834	0.0829942	0.0429407	0.0821629	0.0221587	0.064224	0.0423795	0.0654082	0.081073	0.0958345	0.0876852	0.0781608	0.110966	0.0437467	0.0249691	0.0402667	0.0806126	0.0424757	0.134586	0.0610005	0.061066	0.0594361	0.0721477	0.0658115	0.0284157	0.0371782	0.0572565	0.0455739	0.176357	11.73481	0.998675	0.999661	1.00034	1.00133	11.73481	96.44014	0.06500469	-2.846144	0.4750758	0.225697
50	-478.4238	-580.2095	101.7857	566213.4	0.0575646	0.128744	0.0423496	0.0258528	0.0281738	0.052044	0.0440602	0.0629433	0.126387	0.0954763	0.0704382	0.0797294	0.0244419	0.119492	0.0421738	0.0350854	0.0745374	0.0607528	0.0545862	0.0684744	0.0800383	0.0437987	0.109841	0.095087	0.0425186	0.0571096	0.0447276	0.060891	0.0583185	0.0346795	0.0513837	0.0594176	0.078899	0.0648949	0.0480834	0.0410585	0.0657206	0.0578514	0.0584377	0.0463067	0.0679891	0.0639848	0.041735	0.0512596	0.097879	0.0642902	0.0752411	0.0633982	0.0981253	0.128011	0.0492209	0.0643406	11.73647	0.998311	0.999568	1.00043	1.00169	11.73647	103.7983	0.06876871	-2.783383	0.4612507	0.2127522
60	-455.7646	-582.7002	126.9356	629350.2	0.0434942	0.0344555	0.0380051	0.0299508	0.0311012	0.0313108	0.0352996	0.0267997	0.027036	0.0376035	0.0552335	0.060715	0.0205627	0.0702705	0.0485389	0.0620285	0.043395	0.0523195	0.0424426	0.0901292	0.0707619	0.0435795	0.0582145	0.0561607	0.0545551	0.0295791	0.0315876	0.0410133	0.0297201	0.0420876	0.0263939	0.0561199	0.0575664	0.0492717	0.0610759	0.0916072	0.0736674	0.038182	0.0388031	0.0267319	0.0522716	0.0509952	0.041353	0.031259	0.0440455	0.0256123	0.0412929	0.0406378	0.0371184	0.0559607	0.0448875	0.0581425	11.75102	0.998398	0.99959	1.00041	1.0016	11.75102	135.5677	0.04212991	-3.219956	0.3254506	0.1059181
70	-458.9031	-577.6221	118.719	381581.3	0.0395199	0.0397479	0.0179731	0.0299426	0.0170738	0.109189	0.0309956	0.0449127	0.0438966	0.0584462	0.0462412	0.0414797	0.0535101	0.0263407	0.03003	0.0277743	0.0688264	0.018543	0.0192174	0.0356819	0.0293572	0.046239	0.0565305	0.0284634	0.0569554	0.0454393	0.0349227	0.0281114	0.0351225	0.031504	0.0537457	0.0580306	0.0466217	0.0530759	0.0313874	0.0659534	0.0753624	0.0266669	0.0865909	0.0688518	0.0806256	0.0567278	0.0265283	0.0217541	0.0572289	0.0247478	0.0307763	0.0237981	0.0316682	0.0271762	0.0385009	0.0368345	11.75472	0.997943	0.999474	1.00052	1.00206	11.75472	142.6643	0.04837213	-3.124422	0.4372437	0.1911821
80	-449.0723	-583.0562	133.984	448476.6	0.0357041	0.0121609	0.0213701	0.0167077	0.0194957	0.0530545	0.0249936	0.0120367	0.00853669	0.0168143	0.0153977	0.0369586	0.0173082	0.0248197	0.029098	0.0217561	0.0488822	0.0172455	0.012975	0.0237461	0.0166704	0.0265567	0.0230326	0.0275585	0.0113944	0.0354383	0.0571291	0.0333761	0.00593258	0.0168153	0.15323	0.0100218	0.0243577	0.027197	0.0412353	0.0287906	0.0410297	0.0167364	0.0308419	0.0372706	0.0232876	0.0249249	0.0235023	0.029546	0.0281164	0.0578387	0.0180092	0.0162048	0.0339102	0.0274477	0.0153988	0.0185274	11.76091	0.998103	0.999515	1.00048	1.0019	11.76091	161.266	0.02672796	-3.766087	0.5367355	0.2880849
90	-422.3063	-579.6269	157.3207	310420.5	0.0463002	0.0439125	0.0306966	0.0225504	0.0417144	0.0270103	0.0264337	0.0243754	0.0243421	0.0173317	0.0289992	0.0301608	0.0276885	0.0188092	0.0260812	0.0338032	0.040061	0.0174183	0.0180447	0.0374327	0.0381341	0.0243699	0.0191351	0.0237835	0.0217395	0.0221481	0.0270492	0.0232829	0.0197301	0.0263562	0.0253854	0.0261351	0.0349616	0.0260306	0.0148566	0.0296777	0.0452265	0.0273752	0.0211538	0.0423786	0.03669	0.0416486	0.0250278	0.0357287	0.0314071	0.0306087	0.0249966	0.0438359	0.0314753	0.0446361	0.0235187	0.0402211	11.76049	0.997719	0.999416	1.00058	1.00228	11.76049	139.5367	0.02991977	-3.539618	0.2465034	0.06076395
